Patent ID;SiO2;Al2O3;B2O3;MgO;CaO;SrO;SnO2;Na2O;K2O;BaO;ZnO;TiO2;Sb2O3;SO3;Fe2O3;V2O5;AS2O3;Cl;F;Li2O;ZrO2;Cr2O3;P2O5;CeO2;La2O3;Y2O3;Density;CTE;Strain Point;Young's Modulus;Melting. Temp;Liquidus Temp.;Tg;Liquidus Viscosity
 US20090133441A1;68.79;10.41;9.92;1.97;7.81;1.03;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;31.9;666;;1622;1210;;52000
 US20090133441A1;68.09;10.86;9.8;2.88;7.77;0.53;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.38;30.4;669;;1615;1200;;59000
 US20090133441A1;69.25;10.79;9.9;2;7.49;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1645;1220;;58000
 US20090133441A1;69.25;10.79;9.9;1;8.49;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.364;29.6;;;1688;1200;;137000
 US20090133441A1;69.25;10.79;9.9;0;9.49;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.385;31.3;;;1671;1160;;294000
 US20090133441A1;68.98;10.45;9.9;0;10.1;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.394;33.4;;;1674;1160;;246000
 US20090133441A1;68.73;10.1;9.9;0;10.7;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.375;33.4;;;1650;1160;;173000
 US20090133441A1;68.45;10.19;9.9;0.3;10.59;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.397;35.6;686;;1637;1170;;143000
 US20090133441A1;68.45;10.09;9.9;0.3;10.69;0.5;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.395;34.7;685;;1638;1160;;172000
 US20090133441A1;67.62;11.13;9;2.74;8.18;0.75;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
 US20090133441A1;67.76;11.29;8;3.25;7.63;0.98;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
 US20090133441A1;67.51;11.02;9.88;1.41;8.05;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1080;;720000
 US20090133441A1;67.1;10.4;9.92;1.75;8.03;0.51;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1080;;540000
 US20090133441A1;67.56;11;9.83;2.26;8.73;0.52;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.383;32.3;667;;;1120;;330000
US20230074664A1;70.99404924;13.40925917;0;0.601109208;0.490417025;0;0.116658268;0.623321726;0.152924087;0.977940571;1.206917795;2.541580544;0;0;0.032803213;0.010800415;0;0;0;8.130128946;0.712089792;0;0;0;0;0;;;;;1510;;;
US20230074664A1;78.01120931;3.265997991;9.387684098;0;1.553932408;0;0;7.140320315;0;0;0;0.01558691;0;0;0.007795505;0;0.012584491;0;0.589734561;0;0.015154411;0;0;0;0;0;;;;;1475;;;
US20230074664A1;73.42309702;0;10.30228291;0;0.22637056;0;0;10.24080165;4.581796843;0.579533731;0;0.039736159;0.065317675;0;0.003974661;0;0;0.537088784;0;0;0;0;0;0;0;0;;;;;1300;;;
US20110302962A1;72.33280855;0.889815388;0;5.402422186;6.147881188;0;0;12.1008618;2.92145347;0;0;0;0;0.196424765;0.008332656;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20110302962A1;73.09792574;0;0;0;8.509365473;0;0;9.570506579;4.409848592;0.768782764;2.788521402;0.473563785;0;0.377933003;0.003552663;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20110302962A1;73.07195577;0;0;0;8.186934912;0;0;8.261299973;5.618286739;0.869152255;3.463229679;0.255484617;0.107177701;0.159290957;0.007187395;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20110302962A1;73.06156871;0;0;0;9.731665095;0;0;10.8299934;3.082234248;0.671924382;2.117653929;0.203270804;0.115661547;0.179380753;0.006647139;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
US20110302962A1;73.03050788;0;0;0;8.182291116;0;0;8.256613996;5.615099933;0.868659254;3.469096182;0.255339701;0;0.318401207;0.003990732;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
