Patent ID;Al2O3;BaO;Bi2O3;CaO;CeO2;Fe2O3;K2O;La2O3;Li2O;MgO;Na2O;Nb2O5;P2O5;SiO2;SrO;Ta2O5;TiO2;WO3;Y2O3;ZnO;ZrO2
US20240025797A1;0.04;7.99;0;3.27;0;0.01;14.96;0;0;0.08;0.74;14.98;0;49.93;0.01;0;2.99;0;0;0;4.9
US20240025797A1;0.04;7.98;0;5.68;0;0.01;12.55;0;0;0.11;0.74;14.98;0;49.92;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.98;0;8.09;0;0.01;10.14;0;0;0.16;0.73;14.97;0;49.89;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.99;0;1.67;0;0.01;8.91;0;0;0.05;8.39;14.98;0;49.95;0.01;0;2.99;0;0;0;5
US20240025797A1;0.04;7.98;0;9.09;0;0.01;1.6;0;0;0.15;8.28;14.96;0;49.89;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.99;0;4.14;0;0.01;8.8;0;0;0.08;6.04;14.97;0;49.91;0.01;0;3;0;0;0;5
US20240025797A1;0.04;7.98;0;9.02;0;0.01;3.97;0;0;0.15;5.98;14.97;0;49.89;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.98;0;6.55;0;0.01;8.7;0;0;0.13;3.72;14.97;0;49.9;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.99;0;8.95;0;0.01;6.29;0;0;0.15;3.71;14.97;0;49.89;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.98;0;10.68;0;0.01;0.79;0;0;0.18;7.48;14.96;0;49.89;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.98;0;10.53;0;0.01;5.47;0;0;0.18;2.96;14.96;0;49.88;0.01;0;2.99;0;0;0;4.98
US20240025797A1;0.04;7.98;0;12.91;0;0.01;3.12;0;0;0.2;2.93;14.96;0;49.85;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.9;0;15.24;0;0.01;0.78;0;0;0.25;2.92;14.95;0;49.85;0.01;0;2.99;0;0;0;4.99
